
Results from query to  NASA/IPAC Extragalactic Database (NED),
which is operated by the Jet Propulsion Laboratory, California Institute of
Technology, under contract with the National Aeronautics and Space Administration.
This work was (partially) supported by the US National Virtual Observatory
development project, which is funded by the National Science Foundation
under cooperative agreement AST0122449 with The Johns Hopkins University.



queryDateTime:2014-05-16T08:27:14PDT



Main Information Table for Searching NED within 75.000 arcmin of 48.563938, -67.592281



Equinox:J2000.0



CoordSystem:Equatorial

No.|Object Name|RA(deg)|DEC(deg)|Type|Velocity|Redshift|Redshift Flag|Magnitude and Filter|Distance (arcmin)|References|Notes|Photometry Points|Positions|Redshift Points|Diameter Points|Associations
150|MRSS 054-127180| 48.49110 | -67.45840 |G||||18.6r|  8.204|0|0|0|0|0|0|0
151|MRSS 054-124114| 48.72642 | -67.46922 |G||||18.5r|  8.270|0|0|0|0|0|0|0
152|GALEXASC J031309.96-673006.1  | 48.29152 | -67.50172 |UvS||||     |  8.276|0|0|4|0|0|0|0
153|MRSS 054-130094| 48.22896 | -67.64593 |G||||19.5r|  8.302|0|0|0|0|0|0|0
154|GALEXASC J031247.70-673609.1  | 48.20034 | -67.60259 |G||||18.0r|  8.337|0|0|4|0|0|0|0
155|MRSS 054-130532| 48.20094 | -67.60588 |G||||17.4r|  8.340|0|0|0|0|0|0|0
156|GALEXASC J031306.07-674039.1  | 48.27531 | -67.67753 |UvS||||     |  8.342|0|0|4|0|0|0|0
157|GALEXASC J031448.27-672747.6  | 48.70115 | -67.46322 |UvS||||     |  8.358|0|0|4|0|0|0|0
158|GALEXASC J031300.79-674000.8  | 48.25303 | -67.66673 |G||||18.8r|  8.388|0|0|4|0|0|0|0
159|GALEXASC J031534.02-673922.1  | 48.89179 | -67.65616 |UvS||||     |  8.412|0|0|4|0|0|0|0
160|SUMSS J031248-673704| 48.20204 | -67.61778 |RadioS|||| 1.28|  8.413|1|0|2|0|0|0|0
161|GALEXASC J031521.61-674107.2  | 48.84005 | -67.68534 |UvS||||     |  8.420|0|0|3|0|0|0|0
162|MRSS 054-127127| 48.49647 | -67.45281 |G||||19.1r|  8.510|0|0|0|0|0|0|0
163|GALEXASC J031523.47-673003.0  | 48.84831 | -67.50073 |G||||19.4r|  8.523|0|0|4|0|0|0|0
164|GALEXASC J031327.12-672821.4  | 48.36300 | -67.47263 |UvS||||     |  8.530|0|0|3|0|0|0|0
165|GALEXASC J031508.46-672837.0  | 48.78342 | -67.47702 |G||||18.0r|  8.553|0|0|4|0|0|0|0
166|GALEXASC J031439.12-674348.3  | 48.66303 | -67.73010 |UvS||||     |  8.572|0|0|4|0|0|0|0
167|MRSS 054-123500| 48.73371 | -67.72027 |G||||18.9r|  8.600|0|0|0|0|0|0|0
168|MRSS 054-130445| 48.20372 | -67.63434 |G||||19.6r|  8.610|0|0|0|0|0|0|0
169|GALEXASC J031545.86-673558.3  | 48.94112 | -67.59956 |UvS||||     |  8.637|0|0|4|0|0|0|0
170|GALEXASC J031412.62-672647.1  | 48.55315 | -67.44654 |G||||19.5r|  8.748|0|0|4|0|0|0|0
171|GALEXASC J031512.16-674225.3  | 48.80071 | -67.70705 |UvS||||     |  8.752|0|0|3|0|0|0|0
172|GALEXASC J031522.93-672936.3  | 48.84558 | -67.49343 |UvS||||     |  8.766|0|0|4|0|0|0|0
173|GALEXASC J031417.43-672646.3  | 48.57249 | -67.44594 |G||||19.2r|  8.783|0|0|4|0|0|0|0
174|GALEXASC J031432.54-672653.1  | 48.63559 | -67.44809 |UvS||||     |  8.806|0|0|4|0|0|0|0
175|GALEXASC J031321.58-672822.2  | 48.33994 | -67.47285 |UvS||||     |  8.816|0|0|4|0|0|0|0
176|MRSS 054-124714| 48.63752 | -67.73658 |G||||19.0r|  8.819|0|0|0|0|0|0|0
177|MRSS 054-121005| 48.95136 | -67.58385 |G||||18.8r|  8.877|0|0|0|0|0|0|0
178|GALEXASC J031532.44-673032.2  | 48.88476 | -67.50874 |G||||18.8r|  8.897|0|0|4|0|0|0|0
179|GALEXASC J031548.95-673555.0  | 48.95399 | -67.59862 |UvS||||     |  8.928|0|0|4|0|0|0|0
180|GALEXASC J031302.92-674115.0  | 48.26221 | -67.68753 |UvS||||     |  8.949|0|0|4|0|0|0|0
181|GALEXASC J031548.90-673616.7  | 48.95410 | -67.60441 |G||||19.1r|  8.951|0|0|3|0|0|0|0
182|GALEXASC J031445.63-672703.3  | 48.69016 | -67.45092 |UvS||||     |  8.962|0|0|3|0|0|0|0
183|GALEXASC J031405.93-672636.6  | 48.52472 | -67.44352 |UvS||||     |  8.971|0|0|4|0|0|0|0
184|GALEXASC J031451.81-674349.0  | 48.71637 | -67.73022 |G||||18.8r|  8.977|0|0|4|0|0|0|0
185|MRSS 054-129868| 48.24488 | -67.68045 |G||||19.7r|  9.002|0|0|0|0|0|0|0
186|GALEXASC J031439.60-674413.7  | 48.66595 | -67.73725 |G||||19.3r|  9.004|0|0|4|0|0|0|0
187|GALEXASC J031243.58-673755.2  | 48.18359 | -67.63226 |G||||18.3r|  9.017|0|0|4|0|0|0|0
188|MRSS 054-122975| 48.77399 | -67.72079 |G||||18.1r|  9.078|0|0|0|0|0|0|0
189|GALEXASC J031412.33-674438.0  | 48.55139 | -67.74390 |UvS||||     |  9.101|0|0|4|0|0|0|0
190|GALEXASC J031347.65-672646.7  | 48.44857 | -67.44633 |UvS||||     |  9.148|0|0|4|0|0|0|0
191|MRSS 054-130770| 48.19458 | -67.53372 |G||||18.6r|  9.159|0|0|0|0|0|0|0
192|MRSS 054-130463| 48.22172 | -67.51231 |G||||19.9r|  9.192|0|0|0|0|0|0|0
193|MRSS 054-130992| 48.17229 | -67.55728 |G||||19.3r|  9.207|0|0|0|0|0|0|0
194|GALEXASC J031503.73-674331.9  | 48.76556 | -67.72555 |UvS||||     |  9.224|0|0|4|0|0|0|0
195|MRSS 054-122372| 48.82383 | -67.71018 |G||||18.3r|  9.230|0|0|0|0|0|0|0
196|GALEXASC J031257.48-674102.8  | 48.23954 | -67.68412 |UvS||||     |  9.230|0|0|3|0|0|0|0
197|GALEXASC J031415.03-672618.1  | 48.56376 | -67.43801 |G||||19.4r|  9.256|0|0|4|0|0|0|0
198|MRSS 054-120776| 48.96618 | -67.60986 |G||||19.4r|  9.257|0|0|0|0|0|0|0
199|GALEXASC J031339.10-674410.3  | 48.41294 | -67.73621 |UvS||||     |  9.297|0|0|3|0|0|0|0
200|GALEXASC J031436.54-672627.6  | 48.65225 | -67.44103 |UvS||||     |  9.299|0|0|4|0|0|0|0
201|GALEXASC J031237.70-673531.5  | 48.15727 | -67.59200 |G||||18.0r|  9.301|0|0|4|0|0|0|0
202|GALEXASC J031511.45-674309.8  | 48.79773 | -67.71941 |UvS||||     |  9.307|0|0|3|0|0|0|0
203|GALEXASC J031259.85-672933.0  | 48.25068 | -67.49191 |G||||19.8r|  9.371|0|0|4|0|0|0|0
204|MRSS 054-120780| 48.97113 | -67.57536 |G||||17.4r|  9.372|0|0|0|0|0|0|0
205|GALEXASC J031532.84-672946.6  | 48.88687 | -67.49630 |UvS||||     |  9.378|0|0|3|0|0|0|0
206|MRSS 054-122119| 48.87579 | -67.48975 |G||||19.1r|  9.431|0|0|0|0|0|0|0
207|MRSS 054-130234| 48.24405 | -67.49315 |G||||19.2r|  9.441|0|0|0|0|0|0|0
208|GALEXASC J031238.94-673317.4  | 48.16302 | -67.55518 |G||||19.3r|  9.443|0|0|4|0|0|0|0
209|GALEXASC J031504.45-672718.7  | 48.76856 | -67.45520 |UvS||||     |  9.470|0|0|4|0|0|0|0
210|MRSS 054-126303| 48.50948 | -67.74880 |G||||20.0r|  9.473|0|0|0|0|0|0|0
211|GALEXASC J031409.33-672557.9  | 48.53892 | -67.43277 |UvS||||     |  9.588|0|0|4|0|0|0|0
212|GALEXASC J031405.36-672558.0  | 48.52236 | -67.43279 |UvS||||     |  9.617|0|0|3|0|0|0|0
213|GALEXASC J031552.74-673814.1  | 48.96977 | -67.63725 |UvS||||     |  9.658|0|0|3|0|0|0|0
214|GALEXASC J031532.40-672914.7  | 48.88501 | -67.48744 |UvS||||     |  9.682|0|0|4|0|0|0|0
215|GALEXASC J031436.81-672603.4  | 48.65338 | -67.43428 |UvS||||     |  9.700|0|0|4|0|0|0|0
216|GALEXASC J031254.18-674126.0  | 48.22542 | -67.69034 |G||||19.7r|  9.711|0|0|4|0|0|0|0
217|MRSS 054-130217| 48.21327 | -67.68478 |G||||19.2r|  9.740|0|0|0|0|0|0|0
218|GALEXASC J031304.43-672830.2  | 48.26847 | -67.47506 |UvS||||     |  9.765|0|0|3|0|0|0|0
